SMILES,k2,dH,pKa
NCC(=O)[O-].[Na+],49,72.5,-
NCCO,5.55,85.5,9.44
NCCN,22.5,84,9.92
C1CNCCN1,61.85,80,9.71
CCCCCCCCCCCCNCCO,8,50,-
CC(N)CO,1,85,9.47
CC(C)(N)CO,0.9,80,9.72
CNCCO,5,74,9.85
CCNCCO,11.25,73.5,9.89
CC(C)C(C)(N)O,0.605,68,-
OCCN(CCO)CCO,0.01,61,7.76
CC(C)(C)NCCO,0.19,80,10.72
CCN(CC)CCO,0.14,73,9.75
CN(C)CCO,0.05,63,9.23
CCCCN,1,95,10.8
CC(C)CN,1.1,97,10.41
CN(C)CCCO,0.85,55,9.54
CN(C)CCCN,14.5,91,9.91
CC1CNCCN1,44,72,9.57
NCCOCCO,5.25,71,9.46
NCCNCCO,12,79,-
CC(O)CN(C)C,0.0455,61,9.5
CCC(N)CO,5,82,-
CCCCNCCO,2,74,10
NC(CO)(CO)CO,1.41,56,8.95
NCCCCCCN,42,98,11.85
C1COCCN1,14.35,82,8.49
CN1CCNCC1,4,67,9.14
OCC1CCNCC1,21,71,9.09
C1CCNCC1,42,81,11.22
OCCN1CCCCC1,0.0036,58.2,9.52
NCCN1CCNCC1,31,72,-
O=C([O-])[C@@H]1CCCN1.[K+],91,86,-
OCCNCCO,2,72,8.96
CN(CCO)CCO,0.019,60.5,8.52
